num_large_appliances,total_units_purchased,total_units_purchased_on_mfr_coup,total_units_purchased_on_store_coup,num_small_appliances,num_pets,num_members_in_household,household_income,male_head_avg_work_hours,female_head_avg_work_hours,household_id,rim_market,primary_head_avg_work_hours,total_head_avg_work_hours,weekday_shopper,weekday_purchase_percentage,residence_status
4,114.0000,2,0,14,0,2,5,0,40,1103515,1,40,40,1,0.78947368,2
6,74.0000,7,6,11,1,1,3,0,43,1103531,1,43,43,1,0.62162162,2
2,40.0000,0,3,12,0,2,3,0,40,1103564,1,40,40,1,0.95000000,2
12,300.0000,4,1,14,0,2,4,0,20,1103614,1,20,20,1,0.75666667,3
12,117.0000,4,0,17,1,2,11,45,35,1103648,1,35,80,1,0.82051282,3
10,314.0000,8,5,19,1,5,6,40,0,1103671,1,0,40,0,0.31528662,1
8,52.0000,9,13,18,1,6,7,40,44,1103705,1,44,84,1,0.59615385,1
4,95.0000,0,0,10,0,1,1,0,50,1103739,1,50,50,1,0.76842105,2
8,175.0000,4,9,12,1,3,5,40,20,1103747,1,20,60,1,0.94285714,2
14,142.0000,10,3,17,0,2,10,0,0,1103754,1,0,0,1,0.73943662,1
14,73.0000,28,4,14,0,6,12,55,0,1103762,1,0,55,1,0.56164384,1
8,31.0000,1,3,6,0,1,2,0,0,1103770,1,0,0,1,0.87096774,1
10,158.0000,5,21,15,2,3,2,40,40,1103804,1,40,80,1,0.53164557,1
10,363.0000,1,21,12,0,2,2,0,0,1103838,1,0,0,1,0.75206612,1
2,40.0000,1,3,6,0,1,2,0,0,1103861,1,0,0,1,1.00000000,2
12,58.0000,0,0,8,0,1,2,0,20,1103879,1,20,20,1,0.74137931,1
6,341.0000,8,0,15,0,4,2,0,0,1103911,1,0,0,1,0.89149560,2
11,131.0000,0,5,14,0,3,7,55,8,1103929,1,8,63,1,0.67938931,2
10,77.0000,12,3,15,2,2,7,0,20,1103986,1,20,20,1,0.83116883,1
3,75.0000,2,5,14,1,4,6,58,45,1104000,1,45,103,1,0.57333333,2
9,60.0000,0,1,12,0,3,4,50,0,1104059,1,0,50,1,0.61666667,1
6,93.0000,7,0,14,1,2,3,0,0,1104075,1,0,0,1,0.72043011,1
12,71.0000,0,0,12,0,1,2,20,0,1104083,1,0,20,1,0.71830986,1
8,108.0000,6,0,17,0,2,3,5,35,1104091,1,35,40,1,0.55555556,1
12,93.0000,0,7,14,0,2,7,0,0,1104174,1,0,0,1,0.81720430,1
6,77.0000,1,0,12,1,5,2,70,0,1104208,1,0,70,1,0.75324675,1
10,52.0000,0,4,14,0,1,4,0,0,1104273,1,0,0,1,0.75000000,2
12,100.0000,0,0,15,1,2,9,40,30,1104307,1,30,70,1,0.52000000,1
16,112.0000,0,3,19,1,4,11,47,43,1104323,1,43,90,1,0.66964286,1
14,103.0000,9,1,13,2,3,5,60,40,1104331,1,40,100,0,0.33009709,1
10,136.0000,3,8,17,1,4,12,45,0,1104349,1,0,45,1,0.81617647,1
6,95.0000,0,0,10,0,2,1,0,40,1104380,1,40,40,1,0.56842105,2
10,119.0000,0,1,17,0,2,9,48,6,1104398,1,6,54,1,0.94957983,1
14,155.0000,0,0,12,0,4,8,45,40,1104430,1,40,85,1,0.52258065,1
6,68.0000,0,0,11,0,2,5,40,36,1104463,1,36,76,0,0.30882353,1
12,257.0000,6,3,19,1,2,9,40,40,1104497,1,40,80,1,0.69260700,1
14,51.0000,0,0,17,0,2,9,50,35,1104505,1,35,85,1,0.78431373,1
14,108.0000,0,0,19,0,2,2,0,25,1104513,1,25,25,1,0.69444444,1
12,64.0000,2,7,6,0,1,3,0,36,1104547,1,36,36,1,0.56250000,1
2,48.0000,0,7,8,0,1,3,0,0,1104562,1,0,0,1,0.81250000,2
14,151.0000,1,2,21,1,5,13,55,40,1104570,1,40,95,1,0.68211921,1
11,72.0000,0,6,16,0,2,12,40,21,1104596,1,21,61,1,0.54166667,1
8,519.0000,0,1,8,3,5,7,40,0,1104679,1,0,40,1,0.53371869,1
11,153.0000,0,7,8,1,1,2,0,0,1104752,1,0,0,1,0.58169935,1
12,273.0000,9,9,17,0,4,7,45,0,1104786,1,0,45,1,0.87179487,1
12,109.0000,0,0,15,0,2,8,40,0,1104794,1,0,40,1,0.76146789,2
10,57.0000,4,8,15,2,4,9,40,0,1104836,1,0,40,1,0.68421053,1
2,25.0000,0,1,12,0,1,3,0,38,1104851,1,38,38,1,0.60000000,2
12,221.0000,2,8,13,0,4,4,40,34,1104877,1,34,74,1,0.67420814,1
14,233.0000,4,5,15,0,3,8,40,35,1104901,1,35,75,1,0.96995708,1
12,139.0000,13,0,12,0,1,1,0,0,1104992,1,0,0,1,0.52517986,1
12,163.0000,11,10,13,1,3,4,37,40,1105007,1,40,77,0,0.05521472,1
6,364.0000,3,0,11,0,8,5,45,0,1105064,1,0,45,1,0.52747253,1
10,30.0000,11,0,9,0,2,1,40,0,1105098,1,0,40,1,1.00000000,1
12,204.0000,7,0,17,2,5,3,45,40,1105163,1,40,85,0,0.37254902,1
8,248.0000,0,1,15,0,4,8,60,0,1105270,1,0,60,1,0.86693548,1
14,205.0000,12,1,13,0,5,7,40,30,1105288,1,30,70,1,0.97560976,1
14,183.0000,19,17,15,1,4,5,50,0,1105304,1,0,50,1,0.80874317,1
10,146.0000,5,5,13,1,6,7,70,24,1105320,1,24,94,1,0.66438356,1
14,293.0000,9,5,12,0,3,10,60,50,1105403,1,50,110,0,0.32081911,1
8,375.0000,10,0,4,0,3,2,80,0,1105437,1,0,80,1,0.82133333,1
6,40.0000,5,0,8,0,1,1,0,0,1105494,1,0,0,1,0.75000000,1
10,283.0000,3,6,11,2,3,4,45,25,1105544,1,25,70,1,0.89752650,1
8,37.0000,0,0,12,0,2,5,30,30,1105569,1,30,60,1,0.94594595,1
12,249.0000,0,3,10,0,2,5,0,0,1105585,1,0,0,1,0.89558233,1
8,44.0000,5,1,4,0,1,4,0,0,1105593,1,0,0,1,0.90909091,2
10,112.0000,6,4,15,3,3,12,45,40,1105627,1,40,85,1,0.58035714,1
12,163.0000,11,0,15,2,3,7,40,40,1105643,1,40,80,1,0.68711656,1
10,49.0000,3,0,17,1,2,6,0,50,1105676,1,50,50,1,0.61224490,1
6,101.0000,0,1,5,0,1,3,40,0,1105684,1,0,40,1,0.64356436,1
10,185.0000,2,3,17,0,4,6,48,0,1105718,1,0,48,1,0.97297297,1
8,149.0000,6,11,10,0,2,4,0,0,1105759,1,0,0,1,0.72483221,1
12,34.0000,0,0,19,0,2,4,0,35,1105767,1,35,35,1,0.55882353,1
15,145.0000,0,2,15,1,4,6,75,24,1105775,1,24,99,1,0.78620690,1
2,107.0000,0,0,12,0,1,4,0,40,1105809,1,40,40,1,0.77570093,2
12,110.0000,6,0,7,1,5,2,0,0,1105817,1,0,0,1,0.66363636,1
12,419.0000,16,4,17,1,6,8,40,36,1105825,1,36,76,1,0.71360382,1
12,306.0000,5,42,16,1,2,3,0,0,1105866,1,0,0,1,0.86928105,1
14,126.0000,19,5,12,0,2,12,35,48,1105924,1,48,83,0,0.46031746,1
14,265.0000,4,6,16,0,4,10,44,28,1105981,1,28,72,1,0.60000000,1
9,511.0000,0,9,14,2,4,9,60,55,1106005,1,55,115,0,0.18786693,1
12,50.0000,4,0,12,0,2,8,40,50,1106021,1,50,90,0,0.48000000,1
12,73.0000,0,13,15,3,2,6,0,40,1106039,1,40,40,1,0.82191781,1
10,234.0000,13,13,17,0,7,6,0,45,1106047,1,45,45,1,0.81196581,1
10,121.0000,4,7,15,2,2,11,0,0,1106062,1,0,0,1,0.86776860,1
2,20.0000,0,1,8,1,1,2,0,0,1106070,1,0,0,1,0.80000000,2
14,116.0000,0,0,15,1,3,11,50,50,1106104,1,50,100,1,0.56034483,1
8,126.0000,5,0,10,0,2,5,40,40,1106112,1,40,80,1,0.80952381,3
6,193.0000,1,8,10,0,4,7,40,32,1106120,1,32,72,0,0.19689119,1
12,236.0000,3,0,18,1,3,10,36,0,1106138,1,0,36,1,0.80932203,1
12,244.0000,2,1,18,0,2,3,0,0,1106161,1,0,0,1,0.82377049,1
14,172.0000,2,1,15,0,3,7,45,45,1106187,1,45,90,0,0.37209302,1
10,123.0000,3,3,4,0,2,6,0,0,1106195,1,0,0,1,0.81300813,3
12,257.0000,18,0,13,1,4,10,50,24,1106245,1,24,74,0,0.42023346,1
10,23.0000,0,0,4,0,1,3,0,0,1106328,1,0,0,1,0.65217391,1
12,74.0000,11,0,14,0,2,5,12,30,1106351,1,30,42,1,0.67567568,1
12,78.0000,0,0,14,0,4,10,40,40,1106385,1,40,80,1,0.67948718,1
12,132.0000,3,2,6,0,1,2,0,0,1106393,1,0,0,1,0.64393939,1
10,285.0000,4,17,10,2,2,2,20,0,1106450,1,0,20,1,0.77192982,1
0,68.0000,0,0,4,0,1,2,0,26,1106484,1,26,26,1,0.89705882,2
12,165.0000,38,32,16,0,4,4,40,0,1106500,1,0,40,1,0.81818182,1
12,165.0000,0,0,14,1,4,8,60,0,1106518,1,0,60,1,0.93333333,1
8,65.0000,2,1,10,1,2,5,45,36,1106526,1,36,81,1,0.93846154,1
12,295.0000,7,1,15,1,4,5,40,0,1106633,1,0,40,0,0.47457627,1
12,119.0000,2,14,12,0,1,8,0,50,1106641,1,50,50,1,0.53781513,1
14,165.0000,2,0,17,3,6,13,65,0,1106658,1,0,65,1,0.72727273,1
16,76.0000,0,0,16,1,2,10,45,0,1106690,1,0,45,1,0.73684211,1
2,13.0000,0,0,8,0,1,4,40,0,1106708,1,0,40,1,0.92307692,2
8,136.0000,3,6,10,0,2,7,43,36,1106724,1,36,79,0,0.31617647,2
12,143.0000,0,5,17,0,5,8,45,40,1106732,1,40,85,0,0.25874126,1
8,32.0000,0,0,6,1,1,4,0,33,1106740,1,33,33,1,0.87500000,1
